listing_id,brand,category,original_title,source_bullets,generated_title,generated_description,intended_flaw,human_accuracy,human_compliance,human_quality_score,human_notes
LST-0046,Nia & Nicole,Product,Nia & Nicole Women's Clutch (Navy Blue:: Mustard),अन्य मटीरियल नेवी ब्लू:: मस्टर्ड (सरसों) रंग का क्लच | 11 सेंटीमीटर ऊंचाई x 21.5 सेंटीमीटर लंबाई x 3 सेंटीमीटर चौड़ाई | स्नैप क्लोज़र,Nia & Nicole Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0047,Amazon Collection(アマゾンコレクション),Product,[アマゾンコレクション] Amazon Collection 14Kイエローゴールド 2.5mmラウンド 五石爪ファンシーグリーンのスワロフスキージルコニア 半 フープ スタッド ピアス 両耳用スタッドピアス JEE13625_5NNFG00A100,キュービックジルコニア(CZ),WORLD'S BEST #1 GUARANTEED Amazon Collection(アマゾンコレクション) Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0048,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Take It Easy 3D Printed Hard Back Case Mobile Cover for HTC One M8,"3D Printed Hard Back Case Mobile Cover for HTC One M8 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0049,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Water Drop On Glass 3D Printed Hard Back Case Mobile Cover for Samsung Z2,"3D Printed Hard Back Case Mobile Cover for Samsung Z2 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Samsung Z2,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0050,find.,Product,"find. Women's Felix-1w1-112 Brogue, Blue Navy, 7",,find. Product - High Quality Utility,Features premium craftsmanship. find. original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0051,206 Collective,Product,"Amazon Brand - 206 Collective Men's Pike Driving Slip-on Loafer, Black, 9.5 D US",Moccasin-style loafer featuring suede upper and wraparound lacing with metallic eyelets | Removable comfort insole,206 Collective Product - High Quality Moccasin-style loafer featuring suede upper and wraparound lacing with metallic eyelets,Features premium craftsmanship. 206 Collective original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0052,Eono,Product,"Eono 3 en 1 Carcasa Protectora Compatible con MacBook Pro 13 Pulgadas USB-C (A2159/A1989/A1706/A1708,2019/2018/2017/2016) de Plástico Duro&Cubierta de Teclado&Protector de Pantalla,Ondulación Colorida","Diseñado SOLO para ser compatible con MacBook Pro 13 pulgadas USB-C (A2159/A1989/A1706 con Touch Bar & A1708 sin Touch Bar, versión 2019 - MV962LL/A, MV992LL/A, MV972LL/A, MV9A2LL/A; 2018 - MR9Q2LL/A, MR9R2LL/A; 2017 - MPXV2LL/A, MPXX2LL/A, MPXW2LL/A, MPXY2LL/A, MPXQ2LL/A, MPXW2LLL/A, MPXT2LL/A, MPXU2LL/A; 2016 - MLL42LL/A, MLUQ2LL/A, MLH12LL/A, MLVP2LL/A, MNQF2LL/A, MNQG2LL/A). | Diseñado con ranuras de ventilación para garantizar una disipación de calor adecuada, evite el sobrecalentamiento durante el uso. Ningún logotipo de Apple recorta el diseño. | Fácil de acceder a todos los puertos y botones, y fácil de instalar y quitar.",Eono Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0053,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Ball Heart 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y1 Lite,"3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y1 Lite | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",WORLD'S BEST #1 GUARANTEED Amazon Brand - Solimo Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0054,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Iron Impression 3D Printed Hard Back Case Mobile Cover for Lenovo A6600,"3D Printed Hard Back Case Mobile Cover for Lenovo A6600 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0055,Amazon Brand - Symbol,Product,Amazon Brand - Symbol Men's Tan PU Formal Shoes - 9 UK (AZ-SY-437),Outer Material: Pu | Product Type: Men's Formal Shoes | Shoe Width: Regular,Amazon Brand - Symbol Product - High Quality Outer Material: Pu,Features premium craftsmanship. Amazon Brand - Symbol original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0056,365 Everyday Value,Product,"365 EVERYDAY VALUE Organic Light Cream, 1 PT","Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy! | Ultra-Pasteurized. | Just Milk & Cream with No Added Gums.","365 Everyday Value Product - High Quality Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!",Features premium craftsmanship. 365 Everyday Value original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0057,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Wax Color 3D Printed Hard Back Case Mobile Cover for Asus Zenfone Max Pro M1 ZB601KL,"3D Printed Hard Back Case Mobile Cover for Asus Zenfone Max Pro M1 ZB601KL | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Asus Zenfone Max Pro M1 ZB601KL,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0058,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Button Jeans Alphabet-X 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 8A,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Xiaomi Redmi 8A | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0059,Amazon Essentials,Product,"Amazon Essentials Women's Manny, Brown Tan, 38.5 EU",Classic and versatile design for everyday use and an excellent fit | Refined loafer silhouette with hem and vamp detail; Soft faux leather upper with a non-abrasive edge | Genuine leather lining with 'Heel Cushion' comfort technology; suede lining for added comfort and breathability,WORLD'S BEST #1 GUARANTEED Amazon Essentials Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0060,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Patternn 3D Printed Hard Back Case Mobile Cover for LG Stylus 3,"3D Printed Hard Back Case Mobile Cover for LG Stylus 3 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0061,365 Everyday Value,Product,"365 EVERYDAY VALUE Chai Spice Cashews, 10 OZ",Brought to you by Whole Foods Market | Limited seasonal collection | Non GMO Verified,365 Everyday Value Product - High Quality Brought to you by Whole Foods Market,Features premium craftsmanship. 365 Everyday Value original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0062,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Multicolor Cute Love Red Pattern Design Printed Soft Back Case Mobile Cover for Samsung Galaxy Note 10 Lite,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Samsung Galaxy Note 10 Lite | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports","Amazon Brand - Solimo Product - High Quality Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0063,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Color Mash 3D Printed Hard Back Case Mobile Cover for Sony Xperia C5 Ultra Dual,"3D Printed Hard Back Case Mobile Cover for Sony Xperia C5 Ultra Dual | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Sony Xperia C5 Ultra Dual,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0064,Rivet,Product,Samtida turkos och solbränna öken scen på kanvas väggkonst,,Rivet Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0065,Cornat,Product,Timbus diskbänk-ettgreppsarmatur Niederdruck,,WORLD'S BEST #1 GUARANTEED Cornat Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0066,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Sleepy Kitten UV Printed Soft Back Case Mobile Cover for 10.or G,"Snug fit for 10.or G, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with 10.or G | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0067,Amazon Brand - Symbol,Product,Amazon Brand - Symbol Men's Leather Formal Slip-on shoes/India (44 EU)(AZ-WS-126B),Outer Material: Leather | Product Type: Men's Formal Shoes | Shoe Width: Medium,Amazon Brand - Symbol Product - High Quality Outer Material: Leather,Features premium craftsmanship. Amazon Brand - Symbol original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0068,AmazonBasics,Product,AmazonBasics Modern Euro Toilet Paper Holder - Satin Nickel,Satin Nickel finish; made from durable zinc alloy | Fixture Width: 7-inches (17.78 cm); Fixture Projection: 3.13 inches (7.95 cm) | 11-Lbs (5kgs) max weight capacity,AmazonBasics Product - High Quality Satin Nickel finish; made from durable zinc alloy,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0069,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Sea View 3D Printed Hard Back Case Mobile Cover for LeTV Le 1s,"3D Printed Hard Back Case Mobile Cover for LeTV Le 1s | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for LeTV Le 1s,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0070,Spotted Zebra,Product,Amazon Brand - Spotted Zebra Girl's 3-Piece Fleece Cold Weather Accessories Set,Get ready to play this winter with this 3-piece fleece cold weather set | Including a funky hat and a pair of mittens | Perfect for keeping your kids warm and adventure-ready no matter the weather,Spotted Zebra Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0071,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Panda Experation 3D Printed Hard Back Case Mobile Cover for Lenovo Vibe K5,"3D Printed Hard Back Case Mobile Cover for Lenovo Vibe K5 | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",WORLD'S BEST #1 GUARANTEED Amazon Brand - Solimo Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0072,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Abstract 3D Printed Hard Back Case Mobile Cover for Vivo V17 Pro,"Snug fit for Mobile, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Vivo V17 Pro | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0073,Stone & Beam,Product,Stone & Beam Cotton Velvet Unlined Curtain,,Stone & Beam Product - High Quality Utility,Features premium craftsmanship. Stone & Beam original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0074,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Woodcutter 3D Printed Hard Back Case Mobile Cover for Vivo Y51L,"3D Printed Hard Back Case Mobile Cover for Vivo Y51L | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports. | Stylish design and appearance, express your unique personality.",Amazon Brand - Solimo Product - High Quality 3D Printed Hard Back Case Mobile Cover for Vivo Y51L,Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0075,Bourge,Product,Bourge Men's D.Grey and Sea Green Running Shoes-6 UK (40 EU) (7 US) (Reef-65),आउटर मटीरियल: मेश | क्लोज़र टाइप: लेस-अप | टो स्टाइल: राउंड टो,Bourge Product - High Quality आउटर मटीरियल: मेश,Features premium craftsmanship. Bourge original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
